sentence1,sentence2,gold_label,split
"the boy plays an instrument, but he does not want to play anymore.","the boy plays an organ, but he does not want to play anymore.",neutral,one not scoping
There is a person walking in the city when it's not dark.,There is a cheerleader walking in the city when it's not dark.,neutral,one not scoping
"The three children are not in the classroom, but they are holding plants.","The three children are not in the classroom, but they are holding daisies.",neutral,one not scoping
The woman is not wearing a dress but she is wearing jewelry.,The woman is not wearing a dress but she is wearing rings.,neutral,one not scoping
"The three children are not in the classroom, but they are holding plants.","The three children are not in the classroom, but they are holding lilacs.",neutral,one not scoping
"the boy plays an instrument, but he does not want to play anymore.","the boy plays an harp, but he does not want to play anymore.",neutral,one not scoping
"There is a man cutting hair in the background, not putting his head up.","There is a gent cutting hair in the background, not putting his head up.",neutral,one not scoping
"the boy plays an instrument, but he does not want to play anymore.","the boy plays a fiddle, but he does not want to play anymore.",neutral,one not scoping
the man not wearing a tie is not cutting the fish,the man not wearing a tie is not cutting the goldfish,entailment,"one scoping, one not"
There is not a single person not walking in the city.,There is not a single democrat not walking in the city.,entailment,"one scoping, one not"
A man is not wearing a hat and not running.,A man is not wearing a sombrero and not running.,entailment,"one scoping, one not"
The people not wearing blue are not playing instruments.,The people not wearing blue are not playing tambourines.,entailment,"one scoping, one not"
A man not walking can not find a woman,A man not walking can not find a mistress,entailment,"one scoping, one not"
a not so grown boy is not concentrating on a machine,a not so grown boy is not concentrating on a combine,entailment,"one scoping, one not"
There is not a single person not walking in the city.,There is not a single woman not walking in the city.,entailment,"one scoping, one not"
The skier not looking back did not notice a large tree dragging behind him.,The skier not looking back did not notice a large sycamore dragging behind him.,entailment,"one scoping, one not"
a man walks not so confidently not dropping produce,a man walks not so confidently not dropping bananas,entailment,"one scoping, one not"
The person did not like fruit and also did not eat meat.,The person did not like blueberries and also did not eat meat.,entailment,"one scoping, one not"
The boy is not holding a weapon that does not shoot.,The boy is not holding a gun that does not shoot.,entailment,"one scoping, one not"
The three children not holding plants are not in school today.,The three children not holding ferns are not in school today.,entailment,"one scoping, one not"
"The person did not like fruit, not meat.","The person did not like watermelons, not meat.",entailment,"one scoping, one not"
The boy who did not wear shoes did not like vegetables.,The boy who did not wear shoes did not like kale.,entailment,"one scoping, one not"
People who are not wealthy do not have any computers,People who are not wealthy do not have any laptops,entailment,"one scoping, one not"
the boy does not play an instrument and also does not like dancing.,the boy does not play an fiddle and also does not like dancing.,entailment,"one scoping, one not"
the boy does not play an instrument and also does not like dancing.,the boy does not play an piccolo and also does not like dancing.,entailment,"one scoping, one not"
There is not a single person not walking in the city.,There is not a single programmer not walking in the city.,entailment,"one scoping, one not"
The girl who is not here is not wearing any jewelry at all.,The girl who is not here is not wearing any necklaces at all.,entailment,"one scoping, one not"
The cowboy did not fall off a horse at the not so important competition.,The cowboy did not fall off a clydesdale at the not so important competition.,entailment,"one scoping, one not"
The boy is not holding a gun that does not shoot.,The boy is not holding a handgun that does not shoot.,entailment,"one scoping, one not"
There is not a single person not walking in the city.,There is not a single linguist not walking in the city.,entailment,"one scoping, one not"
The people not wearing blue are not playing instruments.,The people not wearing blue are not playing trumpets.,entailment,"one scoping, one not"
There is not a single person not walking in the city.,There is not a single billionaire not walking in the city.,entailment,"one scoping, one not"
The girls are not cutting the cake but not letting any people cut it.,The girls are not cutting the cake but not letting any children cut it.,entailment,"one scoping, one not"
The people not wearing blue are not playing drums.,The people not wearing blue are not playing instruments.,neutral,"one scoping, one not"
The girl does not wear a sunhat when not sleeping.,The girl does not wear a hat when not sleeping.,neutral,"one scoping, one not"
"The person did not like apples, not meat.","The person did not like fruit, not meat.",neutral,"one scoping, one not"
There is not a single serviceman not walking in the city.,There is not a single person not walking in the city.,neutral,"one scoping, one not"
A seal not moving over there is not tossing balls,A seal not moving over there is not tossing anything,neutral,"one scoping, one not"
A man is not wearing a sunhat and not running.,A man is not wearing a hat and not running.,neutral,"one scoping, one not"
A puppy not moving over there is not tossing blocks,A puppy not moving over there is not tossing anything,neutral,"one scoping, one not"
"The person did not like melons, not meat.","The person did not like fruit, not meat.",neutral,"one scoping, one not"
the cashier who is not drinking is not at a boutique,a cashier who is not drinking is not at a store,neutral,"one scoping, one not"
"A woman did not like omelet, not clothes.","A woman did not like food, not clothes.",neutral,"one scoping, one not"
a man walks not so confidently not dropping carrots,a man walks not so confidently not dropping produce,neutral,"one scoping, one not"
The skier not looking back did not notice a large birch dragging behind him.,The skier not looking back did not notice a large tree dragging behind him.,neutral,"one scoping, one not"
"Two, not three, people are not fishing from a kayak","Two, not three, people are not fishing from a boat",neutral,"one scoping, one not"
"The person did not like lemons, not meat.","The person did not like fruit, not meat.",neutral,"one scoping, one not"
The girl not here is not wearing any earrings at all.,The girl not here is not wearing any jewelry at all.,neutral,"one scoping, one not"
There is not a lifeboat nearby when it's not sunny.,There is not a boat nearby when it's not sunny.,neutral,"one scoping, one not"
a man walks not so confidently not dropping plums,a man walks not so confidently not dropping produce,neutral,"one scoping, one not"
"the boy does not play an tambourine, he also does not like dancing.","the boy does not play an instrument, he also does not like dancing.",neutral,"one scoping, one not"
The girls are not cutting the cake but not letting any boyfriend cut it.,The girls are not cutting the cake but not letting any man cut it.,neutral,"one scoping, one not"
The skier not looking back did not notice a large dogwood dragging behind him.,The skier not looking back did not notice a large tree dragging behind him.,neutral,"one scoping, one not"
"the boy does not play an guitar, he also does not like dancing.","the boy does not play an instrument, he also does not like dancing.",neutral,"one scoping, one not"
People who are not wealthy do not have any generators,People who are not wealthy do not have any machines,neutral,"one scoping, one not"
"A woman did not like gyro, not clothes.","A woman did not like food, not clothes.",neutral,"one scoping, one not"
a man walks not so confidently while not dropping watermelons,a man walks not so confidently while not dropping produce,neutral,"one scoping, one not"
The woman who did not like clothes did not like meatloaf.,The woman who did not like clothes did not like meat.,neutral,"one scoping, one not"
